Title,Year,Score,Adjusted Score,Rank,Consensus,Directors,Cast,Synopsis
Ronin,1998,69,71.257,101,"Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.",John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard","Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of..."
They Live,1988,85,88.264,100,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower","Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world..."
Cliffhanger,1993,67,71.228,99,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.",Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100...
Marvel's the Avengers,2012,91,106.75,98,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract,..."
Hot Fuzz,2007,91,100.052,97,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine","As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the..."
The Warriors,1979,87,90.611,96,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.",Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are...
Starship Troopers,1997,66,69.791,95,A fun movie...if you can accept the excessive gore and wooden acting.,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey","In the distant future, the Earth is at war with a race of giant alien insects. Little is known about..."
Elite Squad 2,2010,91,92.092,94,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.",José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held","Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura)...."
Point Break,1991,70,73.89,93,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.",Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty","After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a..."
The Long Kiss Goodnight,1996,68,68.478,92,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories...
The Guest,2014,92,95.54,91,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard.",Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley",A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on...
Taken,2008,59,65.402,90,"Taken is undeniably fun with slick action, but is largely a brainless exercise.",Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his..."
